date,fold_id,strategy_return,benchmark_return,active_return,strategy_nav,benchmark_nav,portfolio_position,portfolio_turnover,portfolio_transaction_cost,portfolio_boundary_cost_adjustment,trade_event_count,stock_count,strategy_drawdown,benchmark_drawdown
2022-08-01,2,0.01746409080459066,0.005460863705484709,0.012003227099105951,0.9073597198407353,0.7932118083305374,0.3394289322494348,0.19811794387788964,9.905897193894481e-05,0.0,1,5,-0.11527519954574139,-0.2214148117635728
2022-08-02,2,-0.0072486358972089215,-0.015825213275894923,0.008576577378686001,0.9007825996038162,0.7806590622907483,0.35086455163608,0.0,0.0,0.0,0,5,-0.12168824749346518,-0.23373608842086702
2022-08-03,2,-0.013127413349032557,-0.022595403469694686,0.009467990120662129,0.8889576540812009,0.7630197558060153,0.3461248487423811,0.0,0.0,0.0,0,5,-0.13321820891793157,-0.251050130667264
2022-08-04,2,-0.0020674716621306155,0.008133181178393567,-0.010200652840524183,0.8871197593225538,0.7692255337226792,0.33742697881942635,0.0,0.0,0.0,0,5,-0.13501025570824465,-0.2449587856864468
2022-08-05,2,0.0031792969148294326,0.011051176352915526,-0.007871879438086093,0.8899401764364523,0.7777263807510142,0.3360542898785571,0.0,0.0,0.0,0,5,-0.1322601964828587,-0.23661469207334807
2022-08-08,2,-0.00016907924028963794,-0.00902880721604804,0.008859727975758402,0.8897897060275172,0.7707044391923785,0.0,0.33815848057935727,0.00016907924028967866,0.0,1,5,-0.13240691326960652,-0.24350715085018126
2022-08-09,2,0.0,0.0030355947441595976,-0.0030355947441595976,0.8897897060275172,0.7730439855372914,0.0,0.0,0.0,0.0,0,5,-0.13240691326960652,-0.24121074513330776
2022-08-10,2,0.0,-0.012741889160680309,0.012741889160680309,0.8897897060275172,0.7631939447572447,0.0,0.0,0.0,0.0,0,5,-0.13240691326960652,-0.25087915371513436
2022-08-11,2,0.0,0.018407856383177545,-0.018407856383177545,0.8897897060275172,0.7772427092848468,0.0,0.0,0.0,0.0,0,5,-0.13240691326960652,-0.23708944476307803
2022-08-12,2,0.0,-0.0008030795141252822,0.0008030795141252822,0.8897897060275172,0.776618521587517,0.0,0.0,0.0,0.0,0,5,-0.13240691326960652,-0.2377021226010988
2022-08-15,2,0.0,0.00042168951998244886,-0.00042168951998244886,0.8897897060275172,0.7769460134790948,0.0,0.0,0.0,0.0,0,5,-0.13240691326960652,-0.23738066957509474
2022-08-16,2,0.0,0.007851498427957404,-0.007851498427957404,0.8897897060275172,0.7830462038825337,0.0,0.0,0.0,0.0,0,5,-0.13240691326960652,-0.2313929651011336
2022-08-17,2,0.0,0.021923294840964003,-0.021923294840964003,0.8897897060275172,0.8002131566843481,0.0,0.0,0.0,0.0,0,5,-0.13240691326960652,-0.21454256645820657
2022-08-18,2,0.0,-0.008865164799864877,0.008865164799864877,0.8897897060275172,0.7931191351753213,0.0,0.0,0.0,0.0,0,5,-0.13240691326960652,-0.22150577604983357
2022-08-19,2,0.0,-0.0012107500795741633,0.0012107500795741633,0.8897897060275172,0.792158866119296,0.0,0.0,0.0,0.0,0,5,-0.13240691326960652,-0.22244833799342922
2022-08-22,2,0.0,0.00999193752965688,-0.00999193752965688,0.8897897060275172,0.8000740680231239,0.0,0.0,0.0,0.0,0,5,-0.13240691326960652,-0.21467909036057864
2022-08-23,2,0.0,-0.005781840802947302,0.005781840802947302,0.8897897060275172,0.7954481671312478,0.0,0.0,0.0,0.0,0,5,-0.13240691326960652,-0.21921969083933945
2022-08-24,2,-0.0201401075100881,-0.023989853288694296,0.003849745778606195,0.8718692456867533,0.7763654823030084,0.33804655799427585,0.33804655799427585,0.00016902327899713792,0.0,1,5,-0.1498803313113658,-0.23795049590680506
2022-08-25,2,-0.006192993757239251,0.006234038531627073,-0.012427032288866324,0.8664697648910863,0.7812053746343106,0.3244407214957629,0.0,0.0,0.0,0,5,-0.15514511711246082,-0.23319984993528076
2022-08-26,2,-0.004501262069826373,-0.0028119569414285506,-0.0016893051283978222,0.8625695574037306,0.7790086587584264,0.32023091580095386,0.0,0.0,0.0,0,5,-0.1589480303513101,-0.2353560589399437
2022-08-29,2,-0.002990100271110685,-0.012170674794289571,0.009180574523178886,0.8599903879362859,0.7695275977107419,0.3171572616833126,0.0,0.0,0.0,0,5,-0.16146286007377486,-0.24466229168000952
2022-08-30,2,-0.006583319526965226,-0.0004526081191765785,-0.006130711407788647,0.8543287964223826,0.7691793032720875,0.31510937002494294,0.0,0.0,0.0,0,5,-0.1669832180011368,-0.2450041636595155
2022-08-31,2,-0.00537519021099353,0.01888114120518747,-0.024256331416181,0.8497366166388831,0.7837022863092755,0.3105706362319857,0.0,0.0,0.0,0,5,-0.17146084165333042,-0.2307489806642421
2022-09-01,2,-0.00015342239758009413,-0.015870733684190563,0.01571731128661047,0.8496062480098467,0.7712643560355698,0.0,0.30684479516023194,0.00015342239758011597,0.0,1,5,-0.17158795811749294,-0.24295755872841207
2022-09-02,2,0.0,-0.003911306612983667,0.003911306612983667,0.8496062480098467,0.7682477046594492,0.0,0.0,0.0,0.0,0,5,-0.17158795811749294,-0.24591858383526688
