date,symbol,open,high,low,close,volume,amount,turnover,asset_return,fast_ma,slow_ma,signal,position,position_change,gross_strategy_return,transaction_cost,strategy_return,strategy_nav,benchmark_nav,strategy_rolling_max,strategy_drawdown,source_position_change,source_transaction_cost,fold_id,test_start,test_end,selected_fast_window,selected_slow_window,selected_ma_param,is_fold_start,is_parameter_switch,boundary_cost_adjustment,stock_strategy_nav,stock_benchmark_nav
2023-02-14,000001,11.35,11.46,11.31,11.44,90993709.0,1263892078.0,0.0046890566514024,0.009708737864077666,11.9515,11.081166666666666,1.0,1.0,0.0,0.009708737864077666,0.0,0.009708737864077666,1.8662552621450912,1.396825396825394,2.4744336031362724,-0.24578486980629943,0.0,0.0,2,2022-06-11,2023-06-10,20,60,20/60,False,False,0.0,0.897146267390618,0.5869676757311441
2023-02-15,000001,11.44,11.44,11.17,11.21,125024398.0,1713566673.0,0.0064427144631447,-0.020104895104894993,11.910499999999999,11.103833333333334,1.0,1.0,0.0,-0.020104895104894993,0.0,-0.020104895104894993,1.8287343958607059,1.3687423687423663,2.4744336031362724,-0.26094828588536856,0.0,0.0,2,2022-06-11,2023-06-10,20,60,20/60,False,False,0.0,0.8791092357909815,0.5751667521806054
2023-02-16,000001,11.21,11.4,11.07,11.15,127912329.0,1757431084.0,0.0065915343344651,-0.00535236396074934,11.866499999999998,11.128166666666665,1.0,1.0,0.0,-0.00535236396074934,0.0,-0.00535236396074934,1.8189463437865183,1.361416361416359,2.4744336031362724,-0.2649039596451257,0.0,0.0,2,2022-06-11,2023-06-10,20,60,20/60,False,False,0.0,0.874403923199772,0.5720882503848127
2023-02-17,000001,11.17,11.25,11.01,11.01,91836369.0,1246777397.0,0.0047324803179536,-0.012556053811659251,11.804,11.152,1.0,1.0,0.0,-0.012556053811659251,0.0,-0.012556053811659251,1.7961075556134138,1.344322344322342,2.4744336031362724,-0.27413386508455917,0.0,0.0,2,2022-06-11,2023-06-10,20,60,20/60,False,False,0.0,0.8634248604869497,0.564905079527963
2023-02-20,000001,11.07,11.6,11.06,11.6,211619117.0,2945969773.0,0.0109050838683008,0.0535876475930972,11.766000000000002,11.187,1.0,1.0,0.0,0.0535876475930972,0.0,0.0535876475930972,1.8923567343429246,1.416361416361414,2.4744336031362724,-0.235236406446947,0.0,0.0,2,2022-06-11,2023-06-10,20,60,20/60,False,False,0.0,0.9096937676338435,0.595177013853258
2023-02-21,000001,11.53,11.64,11.41,11.56,99049499.0,1393153377.0,0.005104184862978,-0.0034482758620688614,11.730500000000001,11.223166666666666,1.0,1.0,0.0,-0.0034482758620688614,0.0,-0.0034482758620688614,1.8858313662934665,1.4114774114774093,2.4744336031362724,-0.23787352228678504,0.0,0.0,2,2022-06-11,2023-06-10,20,60,20/60,False,False,0.0,0.9065568925730372,0.5931246793227296
2023-02-22,000001,11.48,11.58,11.43,11.49,63892239.0,895742534.0,0.0032924729802578,-0.006055363321799345,11.6855,11.253166666666667,1.0,1.0,0.0,-0.006055363321799345,0.0,-0.006055363321799345,1.8744119722069144,1.4029304029304008,2.4744336031362724,-0.24248847500650172,0.0,0.0,2,2022-06-11,2023-06-10,20,60,20/60,False,False,0.0,0.901067361216626,0.5895330938943047
2023-02-23,000001,11.48,11.74,11.46,11.52,82449068.0,1165539851.0,0.0042487371375018,0.0026109660574411553,11.643,11.283666666666667,1.0,1.0,0.0,0.0026109660574411553,0.0,0.0026109660574411553,1.879305998244008,1.4065934065934043,2.4744336031362724,-0.2405106381266232,0.0,0.0,2,2022-06-11,2023-06-10,20,60,20/60,False,False,0.0,0.9034200175122307,0.591072344792201
2023-02-24,000001,11.49,11.5,11.31,11.36,72998904.0,1012652972.0,0.0037617545224614,-0.01388888888888895,11.591,11.312166666666666,1.0,1.0,0.0,-0.01388888888888895,0.0,-0.01388888888888895,1.8532045260461742,1.3870573870573846,2.4744336031362724,-0.25105910148597577,0.0,0.0,2,2022-06-11,2023-06-10,20,60,20/60,False,False,0.0,0.8908725172690052,0.5828630066700872
2023-02-27,000001,11.27,11.38,11.21,11.22,62146193.0,854854041.0,0.0032024963357191,-0.012323943661971759,11.531,11.332833333333333,1.0,1.0,0.0,-0.012323943661971759,0.0,-0.012323943661971759,1.8303657378730702,1.3699633699633675,2.4744336031362724,-0.2602890069254091,0.0,0.0,2,2022-06-11,2023-06-10,20,60,20/60,False,False,0.0,0.879893454556183,0.5756798358132376
