fast_window,slow_window,ma_param,stock_count,valid_sharpe_count,avg_strategy_annual_return,median_strategy_annual_return,std_strategy_annual_return,avg_excess_annual_return,median_excess_annual_return,std_excess_annual_return,worst_excess_annual_return,avg_strategy_sharpe,median_strategy_sharpe,std_strategy_sharpe,worst_strategy_sharpe,avg_sharpe_diff,avg_strategy_max_drawdown,avg_drawdown_improvement,avg_exposure,avg_trade_count,avg_transaction_cost,return_win_rate,sharpe_win_rate,drawdown_win_rate,local_parameter_count,local_mean,local_std,local_min,local_max,local_range,point_minus_local_mean,is_local_peak,robustness_metric,fast_radius,slow_radius,stability_penalty,robustness_score
25,40,25/40,5,5,-0.026484859643211213,-0.07491654088318778,0.21332745492981886,0.049216869785634575,0.05337724725526316,0.10768362776543766,-0.09668718179807823,-0.23792087248441107,-0.29942465322793965,0.82232826560423,-1.1993128069016483,-0.12992684509977293,-0.3956476042829732,0.19164831205698593,0.41033369214208826,27.4,0.0137,0.8,0.4,1.0,7,-0.2808240498354139,0.07995022803247735,-0.35612878417763244,-0.12769984790311725,0.2284289362745152,0.04290317735100285,False,avg_strategy_sharpe,5,10,1.0,-0.3607742778678913
20,30,20/30,5,5,-0.06473054272229124,-0.0993312811899204,0.17721546352166961,0.03499242547896018,0.04091629495771576,0.08693003124506447,-0.07407615862094152,-0.35612878417763244,-0.5103345317153741,0.6965578151464921,-1.1004734805542855,-0.18279444366065173,-0.44394516656370697,0.1460309499705949,0.4189563365282215,38.4,0.019200000000000002,0.6,0.2,1.0,5,-0.30378092749454777,0.05717471841460988,-0.35612878417763244,-0.2300428122621255,0.12608597191550694,-0.05234785668308467,False,avg_strategy_sharpe,5,10,1.0,-0.36095564590915763
15,50,15/50,5,5,-0.04051253661008791,-0.09031424762220774,0.17898001950154513,0.02964554176870764,0.04060840730703841,0.06285644356030154,-0.06453093219615791,-0.25959293193601957,-0.42218040544361746,0.7612023711974932,-1.2605542898192652,-0.1695736982041248,-0.3695509449991394,0.21594422537263402,0.3989118607181719,22.4,0.0112,0.8,0.4,1.0,9,-0.28145490483809116,0.0857025998723507,-0.4246057619440956,-0.139335117127285,0.28527064481681064,0.02186197290207159,False,avg_strategy_sharpe,5,10,1.0,-0.36715750471044184
15,60,15/60,5,5,-0.061633227937589255,-0.09023538362507211,0.14356656078915364,0.016023197633333864,0.03761087593861623,0.04862296851527585,-0.06842607982078619,-0.3514518499752012,-0.4464999395506796,0.6748453020217071,-1.251170780675169,-0.2375799914602666,-0.4038547423360397,0.1786297839094533,0.40154015401540155,19.4,0.0097,0.8,0.2,1.0,9,-0.2881375085938584,0.09364520171799054,-0.4246057619440956,-0.139335117127285,0.28527064481681064,-0.06331434138134279,False,avg_strategy_sharpe,5,10,1.0,-0.38178271031184896
10,70,10/70,5,5,-0.03696442803305446,-0.04421446447463895,0.14220311656122303,0.04393215227621956,0.026542582048769803,0.04978946799614506,-0.01779761083396947,-0.22378103758200374,-0.15508809354073783,0.6144463570784272,-0.9711173350408339,-0.10813702449532048,-0.37637386160578923,0.20494303468479752,0.41001112347052276,18.8,0.0094,0.8,0.2,1.0,9,-0.2501647151759985,0.15065866102576445,-0.4941930245014813,-0.05100532157724265,0.44318770292423865,0.026383677593994737,False,avg_strategy_sharpe,5,10,1.0,-0.4008233762017629
20,50,20/50,5,5,-0.025889655288933878,-0.056528414968802454,0.18962316649870511,0.044268423089861675,0.05201227604300662,0.07056307530272371,-0.041358337946167834,-0.2243857629336179,-0.24909980732760836,0.779646463386322,-1.2712720976460723,-0.1343665292017232,-0.36174697331882133,0.22374819705295215,0.3965179542981502,21.8,0.010900000000000002,0.8,0.2,1.0,9,-0.3085799194204892,0.09859642656227993,-0.4567500790593697,-0.12769984790311725,0.3290502311562524,0.08419415648687129,False,avg_strategy_sharpe,5,10,1.0,-0.4071763459827691
5,80,5/80,5,5,-0.023325183714380505,-0.03539852807332089,0.12741900712283918,0.06381986029920281,0.10654766793493708,0.08113709895428704,-0.046221791323625805,-0.12483797092601741,-0.1018725050653802,0.5281562245111018,-0.6911957223243173,0.009620833068248147,-0.35504425235796633,0.22443618119358466,0.40832395950506184,22.8,0.0114,0.8,0.4,1.0,6,-0.2629933086178335,0.145976669523765,-0.47526310753201856,-0.05100532157724265,0.4242577859547759,0.1381553376918161,False,avg_strategy_sharpe,5,10,1.0,-0.4089699781415985
20,60,20/60,5,5,-0.0715494640955382,-0.058246742302150434,0.14648850558424925,0.00610696147538492,0.020932819370179434,0.05855889492796243,-0.09304177529985691,-0.4246057619440956,-0.27119888551126026,0.7492532081505116,-1.516076016697073,-0.31073390342916096,-0.39073867325135236,0.19174585299414065,0.40022002200220025,19.4,0.0097,0.8,0.4,1.0,9,-0.3367403969329428,0.10364961534166003,-0.4567500790593697,-0.12769984790311725,0.3290502311562524,-0.08786536501115283,False,avg_strategy_sharpe,5,10,1.0,-0.44039001227460284
25,50,25/50,5,5,-0.005665550937257046,-0.01381115651468623,0.19922772580086456,0.06449252744153851,0.05446110678683713,0.09462886113892947,-0.07249140948662358,-0.12769984790311725,-0.014395000329151112,0.859815646148798,-1.3292417446620846,-0.03768061417122258,-0.3625273965670845,0.2229677738046889,0.39869423286180633,21.6,0.0108,0.8,0.6,1.0,9,-0.33560947204179736,0.11809521223872262,-0.5294898427024466,-0.12769984790311725,0.4017899947993293,0.2079096241386801,True,avg_strategy_sharpe,5,10,1.0,-0.45370468428051997
20,70,20/70,5,5,-0.06344776543762425,-0.0922773527253059,0.12346746237729311,0.017448814871649777,0.02659649829560773,0.06149368256552282,-0.08509551356405631,-0.3634253227660814,-0.5299037291530267,0.658815894324418,-1.2287629279988697,-0.2477813096793981,-0.4108211843656228,0.170495711924964,0.4046718576195773,16.0,0.008,0.8,0.4,1.0,9,-0.41606905235100744,0.04591515464942856,-0.4941930245014813,-0.3514518499752012,0.1427411745262801,0.052643729584926025,False,avg_strategy_sharpe,5,10,1.0,-0.461984207000436
