period,symbol,start_date,end_date,trade_days,strategy_cumulative_return,strategy_annual_return,strategy_annual_volatility,strategy_sharpe,strategy_max_drawdown,strategy_calmar,benchmark_cumulative_return,benchmark_annual_return,benchmark_annual_volatility,benchmark_sharpe,benchmark_max_drawdown,benchmark_calmar,excess_annual_return,sharpe_diff,drawdown_improvement,exposure,buy_count,sell_count,total_trade_count,total_transaction_cost,fast_window,slow_window,ma_param
in_sample,000002,2021-03-08,2024-12-31,929,-0.48464844854039035,-0.1645790026162106,0.23825748611798656,-0.6362908605144609,-0.5832954146622528,-0.28215377402119174,-0.7281916885061779,-0.2976744989210033,0.3878556659737036,-0.7187842590052336,-0.7767408470926063,-0.38323528373101423,0.13309549630479267,0.08249339849077264,0.1934454324303535,0.2960172228202368,13,13,26,0.013000000000000001,10,40,10/40
in_sample,300750,2021-03-08,2024-12-31,929,1.1947282771956376,0.23766396445206972,0.32801960486635684,0.811407291393579,-0.3350343251948894,0.7093719854340914,0.5460562268504421,0.1254576062017414,0.4473962534720053,0.485563078928064,-0.6287827461607957,0.19952456864911924,0.11220635825032832,0.32584421246551504,0.29374842096590625,0.5026910656620022,11,10,21,0.0105,10,40,10/40
in_sample,600036,2021-03-08,2024-12-31,929,-0.20044879516017444,-0.058877538026584575,0.18789955852236764,-0.22968088291931335,-0.26151008886947646,-0.22514442284470035,-0.08451757666417026,-0.02366871874204801,0.29395026404299346,0.06482473866969223,-0.509309967141292,-0.04647212948707496,-0.03520881928453656,-0.29450562158900556,0.2477998782718155,0.4381054897739505,19,18,37,0.018500000000000003,10,40,10/40
in_sample,600519,2021-03-08,2024-12-31,929,-0.2714870561847067,-0.08233363376029645,0.14976148103273362,-0.4985935379084254,-0.28115922709740826,-0.29283632129125103,-0.1861110341963208,-0.05432924754446811,0.28586578615994185,-0.05343375187339062,-0.39850798754144645,-0.1363316401250744,-0.028004386215828347,-0.4451597860350348,0.11734876044403819,0.418729817007535,13,12,25,0.0125,10,40,10/40
in_sample,000001,2021-03-22,2024-12-31,919,-0.20936263996513815,-0.06238563568156974,0.181020980256942,-0.2660652936896485,-0.3634706775838441,-0.171638703007009,-0.3422982885085555,-0.10854069101180908,0.2926713910828657,-0.24725768287687944,-0.6231380337636536,-0.17418402525719823,0.046155055330239336,-0.01880761081276905,0.2596673561798095,0.3416757344940152,14,13,27,0.013500000000000002,10,50,10/50
in_sample,000002,2021-03-22,2024-12-31,919,-0.6906554207857094,-0.27510737603734425,0.21430973746635532,-1.3931259973626855,-0.7092008626449989,-0.3879117899142395,-0.7252081756245263,-0.29827230439717045,0.38823259760521833,-0.7199238745092099,-0.76773711725168,-0.3885083809219955,0.023164928359826198,-0.6732021228534756,0.058536254606681104,0.2850924918389554,15,15,30,0.015000000000000001,10,50,10/50
in_sample,300750,2021-03-22,2024-12-31,919,1.4641771238894425,0.2805625243468568,0.32548002976645635,0.9199856020383197,-0.30534531470810444,0.9188368408896701,0.5631407698446778,0.13030703229014984,0.44324656540116447,0.49549310413191683,-0.6287827461607958,0.2072369718885814,0.15025549205670696,0.42449249790640287,0.3234374314526913,0.500544069640914,11,10,21,0.0105,10,50,10/50
in_sample,600036,2021-03-22,2024-12-31,919,-0.1509206373041101,-0.04387025059992833,0.1830904604198843,-0.15422918839209915,-0.27261999410073723,-0.16092088456181833,-0.09086407526615159,-0.025783315426049835,0.29144300073632157,0.05543386338961183,-0.5093099671412917,-0.05062401501931942,-0.018086935173878493,-0.20966305178171096,0.2366899730405545,0.44069640914036995,16,15,31,0.0155,10,50,10/50
in_sample,600519,2021-03-22,2024-12-31,919,-0.1129847373277093,-0.032341473581564584,0.15423523405877432,-0.1358791589417619,-0.27490047579298627,-0.11764793599673258,-0.16582190109148098,-0.048501113349098235,0.28419445974248625,-0.03384157879491289,-0.398507987541446,-0.12170675335347945,0.01615963976753365,-0.102037580146849,0.12360751174845974,0.43743199129488575,11,10,21,0.0105,10,50,10/50
in_sample,000001,2021-04-06,2024-12-31,909,-0.16845876747976385,-0.04985570458282618,0.1807476422430053,-0.19340545999427233,-0.27150265973854193,-0.18362878887019893,-0.37369033760186365,-0.12165666888820992,0.29164544692717725,-0.2999348471434556,-0.623138033763655,-0.19523229572976458,0.07180096430538374,0.10652938714918325,0.351635374025113,0.35313531353135313,11,10,21,0.0105,10,60,10/60
