strategy_name,symbol,year,strategy_return,benchmark_return,excess_return
binary_10_40,600036,2024,0.01837427879415543,0.4979044425817303,-0.47953016378757485
binary_10_40,600519,2018,-0.20213565536493894,-0.1421049878833326,-0.06003066748160635
binary_10_40,600519,2019,0.5363575178750295,1.0347707689806538,-0.4984132511056243
binary_10_40,600519,2020,0.3940114003546864,0.7086500144816106,-0.3146386141269242
binary_10_40,600519,2021,-0.12446226117687587,0.03568464245215819,-0.16014690362903405
binary_10_40,600519,2022,0.02365812423030933,-0.1376229633099484,0.16128108754025772
binary_10_40,600519,2023,0.06345167580377553,0.02647216659467766,0.03697950920909787
binary_10_40,600519,2024,-0.21230779774689768,-0.08464937168068332,-0.12765842606621436
graded_v1,000001,2018,-0.10694295619322625,-0.2838899803536329,0.17694702416040664
graded_v1,000001,2019,0.4798993729119725,0.7736625514403306,-0.2937631785283581
graded_v1,000001,2020,-0.12717585003252574,0.19566898685228207,-0.3228448368848078
graded_v1,000001,2021,-0.16477259854538184,-0.14165588615782765,-0.023116712387554195
graded_v1,000001,2022,-0.16458040044724953,-0.18688771665410697,0.02230731620685744
graded_v1,000001,2023,-0.1159585451244649,-0.26876737720111255,0.15280883207664764
graded_v1,000001,2024,0.06667783437539732,0.36375158428390386,-0.29707374990850655
graded_v1,000002,2018,-0.2849970230018778,-0.20323817639539776,-0.08175884660648003
graded_v1,000002,2019,0.15071861376500229,0.40534759358288674,-0.25462897981788446
graded_v1,000002,2020,-0.39746477515788714,-0.07534246575342418,-0.32212230940446296
graded_v1,000002,2021,-0.29169842811949387,-0.27201646090534837,-0.0196819672141455
graded_v1,000002,2022,-0.08298417910800693,-0.022046353872244073,-0.060937825235762855
graded_v1,000002,2023,-0.1316839904947259,-0.39537572254335196,0.26369173204862606
graded_v1,000002,2024,-0.12489805608025872,-0.30592734225621354,0.18102928617595482
graded_v1,300750,2018,-0.00023854976799353445,0.05963045912653975,-0.05986900889453328
graded_v1,300750,2019,0.4050299834577009,0.44464993394979935,-0.03961995049209843
graded_v1,300750,2020,1.6610705206641705,2.304681784930497,-0.6436112642663265
graded_v1,300750,2021,0.48790070914123795,0.6754288876591035,-0.18752817851786552
graded_v1,300750,2022,-0.1035378441286321,-0.3298761354252693,0.22633829129663718
graded_v1,300750,2023,-0.08489774973426079,-0.24812697160883346,0.16322922187457267
graded_v1,300750,2024,0.6375728826513243,0.6692015209125475,-0.031628638261223196
graded_v1,600036,2018,-0.05178468992404872,-0.10317460317460336,0.05138991325055464
graded_v1,600036,2019,0.1983065252612659,0.5309734513274329,-0.332666926066167
graded_v1,600036,2020,-0.07709202861742781,0.20592485549132977,-0.2830168841087576
graded_v1,600036,2021,8.443398812763014e-05,0.13660874775314502,-0.1365243137650174
graded_v1,600036,2022,-0.10056068694220544,-0.20189773326304683,0.1013370463208414
graded_v1,600036,2023,-0.15294073428764143,-0.21202113606340778,0.059080401775766345
graded_v1,600036,2024,0.10245406069518292,0.4979044425817303,-0.39545038188654735
graded_v1,600519,2018,-0.20159485098772056,-0.1421049878833326,-0.059489863104387974
graded_v1,600519,2019,0.5713777404903033,1.0347707689806538,-0.46339302849035047
graded_v1,600519,2020,0.4129609503136922,0.7086500144816106,-0.2956890641679184
graded_v1,600519,2021,-0.11072043590129355,0.03568464245215819,-0.14640507835345173
graded_v1,600519,2022,-0.031560489652424306,-0.1376229633099484,0.10606247365752408
graded_v1,600519,2023,0.07393325730773181,0.02647216659467766,0.047461090713054155
graded_v1,600519,2024,-0.18138958003764172,-0.08464937168068332,-0.0967402083569584
graded_v2,000001,2018,-0.05047806738417604,-0.2838899803536329,0.23341191296945685
graded_v2,000001,2019,0.43722834612580774,0.7736625514403306,-0.33643420531452284
graded_v2,000001,2020,-0.15320670665829317,0.19566898685228207,-0.34887569351057524
graded_v2,000001,2021,-0.13023828168706952,-0.14165588615782765,0.011417604470758125
graded_v2,000001,2022,-0.1535075565274866,-0.18688771665410697,0.03338016012662037
graded_v2,000001,2023,-0.07173308679721135,-0.26876737720111255,0.1970342904039012
