period,symbol,start_date,end_date,trade_days,strategy_cumulative_return,strategy_annual_return,strategy_annual_volatility,strategy_sharpe,strategy_max_drawdown,strategy_calmar,benchmark_cumulative_return,benchmark_annual_return,benchmark_annual_volatility,benchmark_sharpe,benchmark_max_drawdown,benchmark_calmar,excess_annual_return,sharpe_diff,drawdown_improvement,exposure,buy_count,sell_count,total_trade_count,total_transaction_cost,fast_window,slow_window,ma_param
in_sample,000001,2021-07-05,2024-12-31,849,-0.11907508559611535,-0.03693239664000092,0.1371092134263969,-0.20566222587189054,-0.21276534349138443,-0.17358276509678106,-0.3875924871940808,-0.13545140513523812,0.28930398837386745,-0.35941432558790265,-0.5863760217983648,-0.23099751712189787,0.0985190084952372,0.15375209971601211,0.37361067830698036,0.32273262661955243,4,3,7,0.0035,20,120,20/120
in_sample,000002,2021-07-05,2024-12-31,849,-0.5012007125765805,-0.18653587015630024,0.15799067972709233,-1.2269773505260855,-0.5024575189148148,-0.37124704703229844,-0.6434184675834959,-0.2636710362636048,0.39849936746789416,-0.570799596865472,-0.699951760733236,-0.37669886848687345,0.07713516610730453,-0.6561777536606135,0.19749424181842112,0.20730270906949352,5,4,9,0.0045000000000000005,20,120,20/120
in_sample,300750,2021-07-05,2024-12-31,849,-0.3037942306954512,-0.10190678970540346,0.3103570428072425,-0.1925749163443589,-0.5902499889795123,-0.17265021873459224,-0.047829176171425014,-0.014442080314049477,0.4362403669051042,0.1823013688103195,-0.6287827461607959,-0.022968315212574655,-0.08746470939135398,-0.3748762851546784,0.03853275718128357,0.48998822143698467,7,6,13,0.006500000000000001,20,120,20/120
in_sample,600036,2021-07-05,2024-12-31,849,-0.2580691337591734,-0.08478884782050311,0.15202142364468788,-0.5069394159032178,-0.3418032068643211,-0.24806334790814316,-0.1130434782608698,-0.034979851386285454,0.2908597236906552,0.022386564207262174,-0.4937853107344633,-0.07084020246421653,-0.049808996434217656,-0.5293259801104799,0.15198210387014222,0.44051825677267376,11,10,21,0.0105,20,120,20/120
in_sample,600519,2021-07-05,2024-12-31,849,-0.2880927733249101,-0.0959418923206673,0.13979204083945523,-0.6514786427744516,-0.3891262229953538,-0.24655725225131603,-0.17483310594193469,-0.055443472833431096,0.28210804023657293,-0.06213779459042929,-0.38323288518003384,-0.14467305645595901,-0.040498419487236204,-0.5893408481840222,-0.005893337815319977,0.4299175500588928,9,8,17,0.0085,20,120,20/120
in_sample,000001,2021-11-03,2024-12-31,769,-0.04066450499091645,-0.01351208849064156,0.14081345698492911,-0.02634348790079787,-0.22608197879642056,-0.05976632265240723,-0.26502732240437343,-0.09598154476541565,0.2721403670179809,-0.23581793566758238,-0.4960159362549804,-0.1935049617358981,0.08246945627477409,0.2094744477667845,0.26993395745855986,0.3094928478543563,2,1,3,0.0015,50,200,50/200
in_sample,000002,2021-11-03,2024-12-31,769,-0.3635548721487639,-0.1376316671076543,0.07811034723274095,-1.8556940262457304,-0.3635548721487639,-0.37857192311628945,-0.5402153261557949,-0.2247894454165218,0.3938793079525245,-0.45199551485344924,-0.6885327991987982,-0.32647601636130474,0.0871577783088675,-1.4036985113922813,0.32497792705003425,0.11703511053315994,2,1,3,0.0015,50,200,50/200
in_sample,300750,2021-11-03,2024-12-31,769,-0.2966847841346848,-0.10893103535161086,0.27459453668561584,-0.28410984757114516,-0.5724128938629391,-0.19030150529364867,-0.24846517119244627,-0.08935578344658623,0.4290615212893865,-0.006197307672910856,-0.628782746160796,-0.14210915295016008,-0.019575251905024627,-0.2779125398982343,0.05636985229785685,0.3719115734720416,4,3,7,0.0035,50,200,50/200
in_sample,600036,2021-11-03,2024-12-31,769,0.031398716019518824,0.010182567398840048,0.15796359945657124,0.1427755852112864,-0.2697148289068766,0.03775308699232011,-0.12174121023678519,-0.04164769842683502,0.28329305801433713,-0.009182311969826733,-0.47663551401869086,-0.08737850454257558,0.05183026582567507,0.15195789718111313,0.20692068511181427,0.39271781534460337,3,2,5,0.0025,50,200,50/200
in_sample,600519,2021-11-03,2024-12-31,769,-0.4721690376273485,-0.1889230946271111,0.1440188811758477,-1.3809182734872405,-0.5041320663094664,-0.37474921206686107,-0.07956310436394853,-0.02680268761971527,0.2673031840392848,0.03105865686162946,-0.3832328851800355,-0.06993838121987855,-0.16212040700739583,-1.41197693034887,-0.12089918112943088,0.3862158647594278,5,4,9,0.0045000000000000005,50,200,50/200
