ma_param,market_direction,trend_quality,volatility_state,observation_count,stock_count,date_count,strategy_mean_daily_return,benchmark_mean_daily_return,active_mean_daily_return,conditional_strategy_sharpe,conditional_benchmark_sharpe,conditional_active_information_ratio,strategy_win_rate,active_win_rate,underperformance_rate,average_position,trade_event_count,transaction_cost_sum,strategy_log_return_sum,benchmark_log_return_sum,active_log_return_sum,active_return_sum,missed_upside_sum,avoided_downside_sum,cost_drag_sum
10/40,down,trending,low_vol,667,10,493,7.90077204020541e-05,0.0005932766329795716,-0.0005142689125775175,0.39459524376748883,0.4621429295206905,-0.40550258382206783,0.004497751124437781,0.4362818590704648,0.5022488755622189,0.017991004497751123,4,0.002,0.049450166130071006,0.2570627545844559,-0.2076125884543848,-0.3430173646892042,-4.795829049243666,4.454811684554462,-0.002
10/40,down,choppy,low_vol,1284,10,816,-0.00019106988537113446,9.897996978752943e-05,-0.0002900498551586639,-0.525902472311827,0.09060738973722303,-0.28156112071985734,0.07087227414330217,0.40186915887850466,0.3925233644859813,0.1573208722741433,27,0.0135,-0.26666794147830014,-0.06512673565224592,-0.20154120582605434,-0.37242401402372444,-6.6346230253683025,6.275699011344578,-0.0135
10/40,up,trending,high_vol,815,10,575,-0.002459404234505334,-0.002311922304073527,-0.00014748193043180667,-1.3965047391775987,-1.2982866171168022,-0.570696592397469,0.403680981595092,0.007361963190184049,0.012269938650306749,0.9815950920245399,5,0.0025,-2.3254698945526147,-2.211791034394347,-0.11367886015826768,-0.12019777330192244,-0.18612933767205564,0.0684315643701332,-0.0025
10/40,up,trending,low_vol,502,10,390,0.0016930781182616123,0.0018912038163114203,-0.00019812569804980807,1.438292967818197,1.5688590599587406,-0.7480242790317624,0.448207171314741,0.02390438247011952,0.04780876494023904,0.9302788844621513,3,0.0015,0.7630459372087843,0.8580706405396972,-0.09502470333091287,-0.09945910042100364,-0.25927093467629625,0.1613118342552926,-0.0015
20/60,sideways,choppy,high_vol,6869,10,2042,0.0003180439127211149,0.0004646934574823,-0.0001466495447611851,0.31096718784985616,0.3157321551651921,-0.13852299199260595,0.2652496724414034,0.2218663560925899,0.22506915125928081,0.5463677391177755,141,0.07050000000000001,1.280110923892225,1.3179543084404097,-0.0378433845481842,-1.0073357229645805,-26.97781320089379,26.04097747792921,-0.07050000000000001
20/60,up,trending,low_vol,502,10,390,0.0018672190793054652,0.0018912038163114203,-2.3984737005955183e-05,1.5654499281166496,1.5688590599587406,-0.1366813129849121,0.4721115537848606,0.017928286852589643,0.029880478087649404,0.9561752988047809,5,0.0025,0.8479592270638836,0.8580706405396972,-0.010111413475813819,-0.012040337976989501,-0.10672587388396537,0.09718553590697587,-0.0025
20/60,up,trending,high_vol,815,10,575,-0.0022596408786196903,-0.002311922304073527,5.228142545383695e-05,-1.2696892982288033,-1.2982866171168022,0.7680098171265388,0.4110429447852761,0.006134969325153374,0.0036809815950920245,0.9914110429447853,3,0.0015,-2.1686955338817464,-2.211791034394347,0.04309550051260086,0.04260936174487712,-0.008849557522123908,0.052958919267001026,-0.0015
20/60,up,choppy,high_vol,1760,10,956,0.00025454190725071645,0.00020365912084250226,5.088278640821416e-05,0.1658388575156647,0.13221750038079022,0.3951623436452793,0.4636363636363636,0.008522727272727272,0.006818181818181818,0.9840909090909091,5,0.0025,-0.07180160834884827,-0.1650929049444117,0.09329129659556354,0.08955370407845692,-0.11773448452465174,0.20978818860310866,-0.0025
20/60,down,choppy,low_vol,1284,10,816,4.738312970798273e-05,9.897996978752943e-05,-5.159684007954671e-05,0.3668690202228701,0.09060738973722303,-0.047568330397204525,0.014018691588785047,0.471183800623053,0.440809968847352,0.024143302180685357,5,0.0025,0.05816047747218013,-0.06512673565224592,0.12328721312442606,-0.06625034266213797,-7.403177433740801,7.3394270910786625,-0.0025
10/40,sideways,trending,low_vol,1537,10,1028,-0.0003580783252209354,-0.00038084430354534937,2.2765978324413953e-05,-0.4618508212256913,-0.3368893852244532,0.027670703297579695,0.20169160702667535,0.24333116460637605,0.2667534157449577,0.46258945998698764,29,0.014499999999999999,-0.6666648121669743,-0.83333156397872,0.16666675181174573,0.034991308684624245,-4.874424952583578,4.923916261268202,-0.014499999999999999
